1;красивый;beautiful
2;форум;forum
3;разразиться;break out
4;обоснованный;reasonable
5;потеют;sweat
6;сумеречный;twilight
7;ворот;gate
8;представление;idea
9;мозговой;brain
10;крест;cross
11;заболеть;get sick
12;отчуждённость;alienation
13;отечества;Fatherland
14;нетерпение;impatience
15;выбранный;selected
16;гардероб;wardrobe
17;тихий;quiet
18;капля;drop
19;диск;disk
20;установить;establish
21;случайный;random
22;абонемент;subscription
23;союз;union
24;дореволюционный;pre-revolutionary
25;разрушить;destroy
26;куда;where
27;магазин;store
28;испытать;experience
29;наивный;naive
30;отомстить;avenge
31;справка;certificate
32;закон;law
33;человека;human
34;безысходность;hopelessness
35;предпочесть;prefer
36;сырьевой;commodity
37;авторитетный;authoritative
38;передовой;best
39;последствия;consequences
40;судно;ship
41;заряд;charge
42;монтаж;installation
43;согласование;harmonization
44;иммиграция;immigration
45;фрукт;fruit
46;перепутье;crossroads
47;проклинать;curse
48;бросить;quit
49;доверить;trust
50;повышение;increase
51;убедиться;make sure
52;негуманный;inhumane
53;послужить;serve as
54;увидеть;see
55;обещание;promise
56;струна;string
57;часть;part
58;паства;flock
59;отчество;patronymic
60;лишили;deprived of
61;срю;FRY
62;точно;exactly
63;райдер;Ryder
64;журналистской;journalistic
65;игра;game
66;устоять;resist
67;пассажирский;passenger
68;крестьянский;peasant
69;спальня;bedroom
70;жаль;too bad
71;образ;image
72;читатель;reader
73;лентяй;lazy
74;желудке;stomach
75;навязать;impose
76;излишний;excessive
77;очернить;denigrate
78;ручной;manual
79;бархат;velvet
80;сделал;made
81;фасадные;facade
82;ассоциированный;associate
83;воображение;imagination
84;напротив;on the contrary
85;фуражку;hat
86;население;population
87;игрок;player
88;случай;case
89;поэтому;therefore
90;писать;write
91;патронимом;patronymic
92;глина;clay
93;меню;menu
94;арбитражный;arbitration
95;государство-ответчик;respondent State
96;активация;activation
97;гнилой;rotten
98;ситуация;situation
99;механик;mechanic
100;оформление;design
101;бюджетной;budget
102;конкурс;competition
103;поддержать;support
104;фрагмент;fragment
105;обдумать;think about
106;роль;role
107;игла;needle
108;блюдо;dish
109;объяснения;explanation
110;насильственно;forcibly
111;заемщик;borrower
112;бад;Bud
113;глобальный;global
114;напуганный;scared
115;кавказский;Caucasian
116;довольный;satisfied
117;пастух;shepherd
118;четверть;quarter
119;приковать;chain
120;поколение;generation
121;выход;way out
122;блокировать;block
123;уэйда;Wade
124;полимерных;polymer
125;мой;my
126;математики;mathematics
127;каска;helmet
128;братство;brotherhood
129;пакет;package
130;книжка;book
131;четверг;Thursday
132;дважды;twice
133;явление;phenomenon
134;переменный;variable
135;пощада;mercy
136;проглотить;swallow
137;призовой;prize
138;прайминг;priming
139;критика;criticism
140;капризничать;act up
141;стипендиат;fellow
142;помощь;assistance
143;ответственность;responsibility
144;одноклассница;classmate
145;количественный;quantitative
146;гейтс;Gates
147;погребальный;funeral
148;гордо;proudly
149;настоятель;abbot
150;потребления;consumption
151;излишне;too
152;достучаться;reach
153;отпасть;fall away
154;командующий;commander
155;включить;include
156;довесок;appendage
157;худшее;the worst
158;остаток;balance
159;дедукция;deduction
160;творец;creator
161;бензиновый;gasoline
162;горизонтальный;horizontal
163;подписав;by signing
164;бисквит;biscuit
165;разведка;intelligence
166;пенсионерки;pensioner
167;функционал;functionality
168;ощутимый;tangible
169;позволить;afford
170;детей;children
171;удобный;convenient
172;металлург;Metallurg
173;тётушка;aunt
174;праздновать;celebrate
175;раздавать;hand out
176;эластичный;elastic
177;неудобство;inconvenience
178;кубический;cubic
179;смущенно;sheepishly
180;погрузчик;loader
181;беларуси;Belarus
182;уверенно;confidently
183;глотать;swallow
184;искать;look for
185;собака;dog
186;губернатор;governor
187;ставка;rate
188;свинья;pig
189;колено;knee
190;прислушаться;listen
191;скрипачей;violinists
192;изменения;change
193;сравнение;comparison
194;кружиться;spin
195;труднее;harder to
196;патриотизм;patriotism
197;стежок;stitch
198;газон;lawn
199;сочинять;write
200;зима;winter
201;стекать;drain
202;изысканный;exquisite
203;объединять;combine
204;успокаиваются;calm down
205;оптимизм;optimism
206;сбить;shoot down
207;увести;steal
208;московского;Moscow
209;парадоксальный;paradoxical
210;черно-белый;black and white
211;разгадывать;solve
212;сигарета;cigarette
213;старцем;elder
214;менеджмент;management
215;солнечный;solar
216;своевременной;timely
217;химический;chemical
218;степень;degree
219;обитание;dwelling
220;максимально;most
221;седьмой;seventh
222;сырный;cheese
223;выполнять;perform
224;кавалерийский;cavalry
225;пустыня;desert
226;напряженный;busy
227;голубцы;cabbage rolls
228;невозможный;impossible
229;расти;grow
230;рука;hand
231;окурок;stub
232;прихожая;hallway
233;безумный;mad
234;исполнитель;performer
235;классификационных;classification
236;кроме;in addition
237;запоминать;remember
238;понять;understand
239;восхитительный;delightful
240;потребительских;consumer
241;пересечь;cross
242;расчет;calculation
243;пополнение;replenishment
244;изменник;traitor
245;разброс;spread
246;уитти;Whitty
247;роза;rose
248;автономный;autonomous
249;требуют;require
250;форк;fork
251;инициатор;initiator
252;слабой;weak
253;проявляться;manifest
254;бюджета;budget
255;стирка;washing
256;невозможна;is impossible
257;нью-йорк;New York
258;смех;laughter
259;достойны;are worthy
260;дышать;breathe
261;беспристрастность;impartiality
262;сытость;satiety
263;оживать;come to life
264;композитор;composer
265;избыток;excess
266;вернуться;return
267;тощий;skinny
268;гражданский;civil
269;определения;definition
270;муж;husband
271;супруга;spouse
272;израиля;Israel's
273;эквивалентный;equivalent
274;котёл;pot
275;братьев;brothers
276;плакат;poster
277;показатель;indicator
278;держаться;stay
279;слушать;listen to
280;позиция;position
281;приблизительный;approximate
282;трибуналу;Tribunal
283;снежный;snow
284;ожидаться;be expected
