1;zerkratzen;поцарапать
2;zeichentrick;анимация
3;zusehen;смотреть
4;zuhören;слушать
5;überziehen;надеть
6;zustand;состояние
7;überprüfen;проверить
8;zwillinge;близнецов
9;über;о
10;zuschlagen;бить
11;zeitalter;эпоха
12;zurückkehren;вернуться
13;zuschauer;зритель
14;zugriff;доступ
15;zeitplan;расписание
16;zittern;дрожать
17;zeichen;знамение
18;zigarette;сигарета
19;überreden;убедить
20;übernehmen;захватить
21;zehnfache;в десять раз больше
22;zeit;время
23;zudem;также
24;zusätzlich;в дополнение
25;ziemlich;довольно
26;zumindest;по крайней мере
27;zerbrechen;сломать
28;zwei;два
29;überschwemmung;время наводнения
30;üben;тренироваться
31;ähm;эм
32;zischen;шипение
33;zaubertrank;волшебное зелье
34;zerknallen;раздавливать
35;zeitvertreib;развлечение
36;zeitmaschine;машина времени
37;zeigt;показывает
38;zunge;язык
39;zögern;стесняться
40;überlebende;выживших
41;öffentlich;публично
42;zentimeter;сантиметр
43;zugibt;признает
44;zahl;число
45;überraschen;удивить
46;zusammenarbeiten;сотрудничать
47;zerbricht;разбить
48;zwölf;двенадцать
49;zusammen;вместе
50;zumachen;закрыть
51;zurückgekommen;вернулся
52;zimmer;комната
53;zerstreut;рассеянный
54;überraschungen;сюрпризов
55;überleben;выжить
56;überzeugt;уверенный
57;überschreiten;превышать
58;übel;плохо
59;zurückbringen;вернуть
60;zugehört;слушал
61;zurück;обратно
62;zielperson;цель
63;zeug;вещь
64;zeigen;показать
65;übertragung;сообщение
66;zweck;цель
67;zusammenbruch;крах
68;zusammenarbeit;сотрудничество
69;zähne;зубы
70;überschneidung;пересекаются
71;zeichnung;рисунок
72;überraschung;удивительно
73;zehnmal;в десять раз
74;zentrum;центр
75;zeitpunkt;время
76;zugang;доступ
77;übertreiben;преувеличивать
78;überweisen;перевести
79;überlisten;перехитрить
80;übertragen;передавать
81;zoo;зоопарк
82;zeitschrift;журнал
83;überlebenden;выживших
84;überreagiert;погорячилась
85;überprüfung;обзора
86;zucker;сахар
87;zahlen;платить
88;zusammensetzen;собрать
89;ärgern;позлить
90;zellen;клетки
91;ängstlich;бояться
92;zurückgeblieben;отсталый
93;zueinander;друг к другу
94;zehen;пальцы ног
95;zeiten;времена
96;zucht;разведение
97;zauberer;волшебник
98;zelle;камера
99;übung;учения
100;übergeben;передать
101;überwachen;следить за
102;ähnlichkeit;похожа
103;zahn;зуб
104;ägypten;Египте
105;zeichnungen;рисунки
106;zwingen;заставить
107;zurückgehen;вернуться
108;zerreißen;разорвать
109;ärger;проблема
110;zusammenstoßen;сталкиваться
111;zahnarzt;дантист
112;übertreibungen;преувеличивать
113;übrigließ;пощадил
114;zukunft;будущее
115;übertreten;нарушать
116;zurückgebracht;возвращены
117;zähnen;зубами
118;übereinkunft;достигнуто
119;übler;отвратительный
120;überqueren;пересечь
121;zustehen;принадлежать
122;zopf;коса
123;zuerst;сначала
124;zar;царь
125;zeilenumbrüche;разрывы строк
126;zug;поезд
127;zivilisiert;цивилизованный
128;zerstören;уничтожить
129;änderungen;изменения
130;zuges;поезда
131;überzeugende;убедительный
132;ähnlich;похожий
133;zusätzliche;дополнительные
134;zuhälterin;сутенер
135;zeremonie;церемония
136;zinsen;процентные ставки
137;überflüssig;ненужный
138;ziehen;переехать
139;übernachten;переночевать
140;ärztin;докторша
141;zweite;второй
142;zurückhaltend;сдержанный
143;zurückschicken;вернуть
144;zurücklassen;оставить
145;zwerge;гномы
146;überfahren;сбить
147;überzeugen;убедить
148;zufrieden;довольный
149;ziel;мишень
150;zeichenfläche;холст
151;zubeißt;укусил
152;äh;эм
153;ziele;цели
154;zuckerschlecken;пикник
155;zoff;поссорился
156;übrig;оставшийся
157;zinszahlungen;выплаты процентов
158;zerstört;уничтожил
159;zulassung;лицензия
160;zählt;считается
161;zero;зеро
162;zweifeln;сомневаться
163;äffchen;мартышка
164;zinssatz;процентная ставка
165;zusammenbau;сборка
166;übersetzen;перевести
167;äußern;выражать
168;zeichnet;рисует
169;zahlt;платит
170;zufall;совпадение
171;zuhörer;аудитория
172;zorn;гнев
173;zeuge;свидетель
174;überzeugte;убедил
175;zauber;заклинание
176;überreste;останков
177;zugangscodes;коды доступа
178;zwischen;между
179;zeitung;газета
180;überwiegend;в основном
181;überwachung;слежка
182;ängste;страхи
183;zerquetschen;раздавить
184;zusammenhang;связь
185;überstürzen;торопиться
186;übernimmt;захватывает
187;zeichnen;рисовать
188;zweifel;сомнение
189;zurückhalten;удержать
190;älteste;старший
191;zog;переехал
192;zulassen;позволить
193;überwacht;под наблюдением
194;übereinstimmung;совпадает
195;ärsche;задницы
196;zuneigung;любовь
197;zwerg;карлик
198;zuzustimmen;согласиться с
199;übertretungen;преступит
200;zuletzt;последний раз
201;zugeben;признать
202;überredet;убедил
203;zone;зона
204;zerschmettern;раздавить
205;ärzten;врачей
206;zählen;рассчитывать
207;zerstörung;разрухи
208;zigaretten;сигареты
209;zuhause;дом
210;überhaupt;вообще
211;zärtlich;нежный
212;überlebte;выжил
213;öffnen;открыть
214;öffentlichkeit;общество
215;übertrieben;преувеличенный
216;4-sterne-hotel;расположен
217;öfter;чаще
218;übrigens;кстати
219;zusammenhalten;объединиться
220;zuteil;знание
221;zugbrücke;Подъемный мост
222;zuvor;раньше
223;zerstörte;уничтожил
224;ärmel;запасе
225;übertreffen;превзойти
226;überstürzt;поспешно
227;zustimmung;согласие
228;zutiefst;глубоко
229;zwischenzeit;то же время
230;zerplatzen;лопаться
231;übersetzung;перевода
232;zungen;языки
233;überzeugend;убедительный
234;zauberei;магия
235;zielgruppe;целевая аудитория
236;zurückkommen;вернуться
237;übersehen;упустить
238;zweifellos;несомненно
239;örtlich;на месте
240;überprüft;проверил
241;züge;поезда
242;zurückließ;оставил
243;ändern;изменить
244;zirpen;писк
245;zerknirscht;подавленно
246;öffnet;открывает
247;zuspielen;подыгрывать
248;zusammengeschlagen;избивали
249;3-sterne-hotel;отель
250;ächzt;стоны
251;zählung;подсчёта
252;zugleich;одновременно
253;zwielicht;сумерки
254;zim;Зим
255;äpfel;яблоки
256;zutreffen;распространяться
257;zurückholen;вернуть
258;zeh;палец
259;zubilligen;согласованный
260;zukünftige;будущее
