1;стальной;steel
2;тренировать;train
3;коварный;insidious
4;манеж;manege
5;делать;do
6;отдельность;separateness
7;подчеркивать;emphasize
8;выборочный;selective
9;статуэтка;statuette
10;исполнение;execution
11;разрушить;destroy
12;мощность;power
13;аргумент;argument
14;изобретатель;inventor
15;опекунство;guardianship
16;усилить;strengthen
17;конструктивный;constructive
18;извиняться;apologize
19;оппонент;opponent
20;крыша;roof
21;представиться;introduce
22;оперативный;operational
23;съемка;shooting
24;губернатор;governor
25;жемчужный;pearl
26;неделя;week
27;заключать;conclude
28;одобрить;approve
29;досуг;leisure
30;историк;historian
31;координировать;coordinate
32;ощутимый;tangible
33;мастер;master
34;отпуск;vacation
35;устный;oral
36;венец;crown
37;преграда;barrier
38;шоколадка;chocolate
39;океан;ocean
40;молитва;prayer
41;установка;installation
42;центральный;central
43;воплощать;embody
44;краткий;brief
45;слайд;slide
46;зависимость;dependence
47;нос;nose
48;нынешний;current
49;почва;soil
50;пятно;spot
51;зубной;dental
52;часто;often
53;выдающийся;outstanding
54;существовать;exist
55;боевой;combat
56;камера;camera
57;узнать;learn
58;картон;cardboard
59;независимый;independent
60;благодарность;gratitude
61;закон;law
62;комплектация;equipment
63;стеллаж;rack
64;победный;winning
65;канцелярия;office
66;радиус;radius
67;поощрять;encourage
68;шумный;noisy
69;координата;coordinate
70;бесталанные;talentless
71;полночь;midnight
72;стих;verse
73;подвижный;movable
74;удалить;remove
75;недостаток;lack
76;основной;main
77;поток;flow
78;порошок;powder
79;преданность;devotion
80;падать;fall
81;кудрявый;curly
82;банка;bank
83;управляющий;managing
84;недвижимость;property
85;гениальность;genius
86;шутер;shooter
87;безжалостный;ruthless
88;седой;grey
89;молот;hammer
90;возмездие;retribution
91;послушать;listen to
92;причина;reason
93;компания;company
94;заполнение;filling
95;ниша;niche
96;ложь;lie
97;знаменитость;celebrity
98;компенсировать;compensate for
99;столкновение;collision
100;предположение;assumption
101;любой;any
102;регулятор;regulator
103;версия;version
104;спрашивать;ask
105;федерация;federation
106;исцелить;heal
107;талант;talent
108;потеря;loss
109;обход;bypassing
110;путешествие;journey
111;мобильный;mobile
112;намеренно;deliberately
113;налогообложение;taxation
114;выйти;get out
115;предыдущий;previous
116;диктат;dictate
117;настрой;attitude
118;шерстяной;wool
119;заключительный;final
120;советовать;advise
121;темный;dark
122;ограбление;robbery
123;стандарт;standard
124;дрожать;tremble
125;стеклянный;glass
126;стереть;erase
127;спускаться;go down
128;наблюдение;observation
129;агент;agent
130;сближение;rapprochement
131;фраза;phrase
132;подсветка;light
133;хит;hit
134;насилие;violence
135;семинар;seminar
136;блеск;shine
137;относиться;treat
138;снова;again
139;патриотический;patriotic
140;шоколадный;chocolate
141;уран;uranium
142;миллиардер;billionaire
143;теоретический;theoretical
144;идти;go
145;инвестор;investor
146;технология;technology
147;тяжело;hard
148;страхование;insurance
149;рецепт;recipe
150;вылепить;sculpt
151;понять;understand
152;румянец;blush
153;грипп;flu
154;конкурент;competitor
155;зал;hall
156;вечный;eternal
157;фейковый;fake
158;понедельник;Monday
159;охотиться;hunt
160;сознательно;consciously
161;останавливаться;stop
162;дорогостоящий;expensive
163;содействия;promote
164;закатать;roll up
165;порт;port
166;рассказчик;narrator
167;яркий;bright
168;троллейбус;trolleybus
169;переступить;cross
170;удержание;retention
171;причинять;cause
172;хранение;storage
173;накапливать;accumulate
174;хвала;praise
175;нелегальный;illegal
176;штамп;stamp
177;задумчивость;thoughtfulness
178;повреждение;damage
179;ограничение;restriction
180;получить;get
181;всесторонний;comprehensive
182;определять;determine
183;сжигание;burning
184;след;mark
185;стихотворение;poem
186;материал;material
187;кролик;rabbit
188;тысячелетие;millennium
189;тень;shadow
190;микрофон;microphone
191;завод;plant
192;негатив;negative
193;отделение;office
194;повторение;repetition
195;гордый;proud
196;подразделение;unit
197;такси;taxi
198;безнадежный;hopeless
199;нормальный;normal
200;единообразный;uniform
201;взять;take
202;учебный;training
203;дружелюбие;friendliness
204;претендент;applicant
205;темнеть;darken
206;угрюмо;sullenly
207;хлеб;bread
208;испуганный;scared
209;хотеть;want
210;бояться;be afraid
211;жетон;badge
212;сенсация;sensation
213;правило;rule
214;покровительница;patron
215;учебник;textbook
216;сопоставимый;comparable
217;просто;just
218;психолог;psychologist
219;репетировать;rehearse
220;ребенок;child
221;сборник;collection
222;заинтриговать;intrigue
223;учредительный;constituent
224;хрип;wheezing
225;правильный;right
226;профиль;profile
227;неприятность;trouble
228;мешок;bag
229;согласование;harmonization
230;колбаска;sausage
231;конечный;final
232;служба;service
233;мышца;muscle
234;избыток;excess
235;поцеловать;kiss
236;очевидец;eyewitness
237;звук;sound
238;чулок;stocking
239;ряд;number
240;вмешаться;intervene
241;оперативник;operative
242;императорский;imperial
243;оплата;payment
244;материковый;mainland
245;бить;beat
246;осаждение;deposition
247;далеко;far
248;противник;enemy
249;восторг;delight
250;выскочить;jump out
251;аспект;aspect
252;подняться;climb
253;пустынный;desert
254;возникновение;emergence
255;уборка;cleaning
256;единый;single
257;постоянно;constantly
258;фиксированный;fixed
259;кинотеатр;cinema
260;отвращение;disgust
