1;градоначальник;maire
2;приток;flux
3;руке;main
4;совместно;conjointement
5;бортовой;de bord
6;сформировать;former
7;мифология;mythologie
8;похоронить;enterrer
9;листва;feuillage
10;оговорить;spécifier
11;последствие;conséquence
12;ароматизированный;aromatisé
13;уклоняться;éviter
14;дружественных;amicales
15;матрас;matelas
16;щипать;pincer
17;предсказание;prédiction
18;сентиментальный;sentimental
19;адаптация;adaptation
20;ветер;vent
21;недвижимость;immobilier
22;погода;temps
23;дефицит;déficit
24;принадлежности;appartenance
25;гоблина;Bouffon
26;духовный;spirituel
27;завоевывать;conquérir
28;высвобождение;libération
29;подарочный;cadeaux
30;душный;étouffant
31;заставлять;faire
32;бомбовой;bombe
33;спирального;en spirale
34;истребитель;chasseur
35;зрелый;mature
36;обвиняемый;accusé
37;собак;chiens
38;плита;plaque
39;глиняный;d'argile
40;военнопленных;prisonniers de guerre
41;гореть;brûler
42;выплатить;payer
43;взгляд;regard
44;беспорядок;désordre
45;вмешательство;intervention
46;кликнуть;cliquer
47;методический;méthodique
48;про;sur
49;нация;nation
50;уделить;accorder
51;охотник;chasseur
52;серебряный;argent
53;легко;facilement
54;городской;urbain
55;обмануть;tromper
56;существенный;important
57;терпением;patience
58;переход;transition
59;жировой;gras
60;планирования;planification
61;сгладить;lisser
62;пировать;festoyer
63;оставляет;laisse
64;честь;honneur
65;копирование;copie
66;погребение;enterrement
67;генерировать;générer
68;церковь;église
69;улица;rue
70;автономия;autonomie
71;собственноручное;autographe
72;выследить;traquer
73;боже;mon Dieu
74;психопат;psychopathe
75;восполнить;combler
76;коэффициент;taux
77;погреться;se réchauffer
78;непрерывно;continuellement
79;своевременно;rapidement
80;хаоса;chaos
81;наем;recrutement
82;предлагать;offrir
83;плащ;manteau
84;содействия;promotion
85;синхронный;synchrone
86;принято;été prise
87;симпатичный;mignon
88;окружать;entourer
89;кафе;café
90;известный;connu
91;открываться;s'ouvrir
92;узел;nœud
93;социологов;sociologues
94;недовольство;mécontentement
95;зубр;bison
96;строить;construire
97;нефтяной;pétrolier
98;способ;moyen
99;злой;méchant
100;школьный;scolaire
101;проживающих;vivant
102;предположить;supposer
103;хуже;pire
104;инвалидность;handicap
105;композитор;compositeur
106;милость;grâce
107;сильный;fort
108;доступ;accès
109;редкий;rare
110;иннокентий;Innocent
111;свидетельство;certificat
112;отдыхать;se reposer
113;братьев-мусульман;frère musulman
114;кролик;lapin
115;удивление;surprise
116;мягкий;doux
117;звонить;appeler
118;процессуальных;procédure
119;монотонный;monotone
120;ночной;nocturne
121;сворачиваться;se rouler
122;подозрение;soupçon
123;панель;panneau
124;выбор;choix
125;расширение;expansion
126;саженец;plant
127;торжественный;solennel
128;молочный;laitier
129;чисто;purement
130;приблизительно;environ
131;интеграция;intégration
132;отварной;bouilli
133;ум;esprit
134;малиновый;framboise
135;руда;minerai
136;общий;général
137;переводить;traduire
138;начальный;initial
139;поршневого;à piston
140;опасение;crainte
141;батарейка;batterie
142;яйцо;œuf
143;общество;société
144;одновременный;simultanée
145;наталкиваться;se heurter
146;стрижка;coupe de cheveux
147;насилие;violence
148;пишет;écrit
149;упростил;a simplifié
150;заполнитель;espace réservé
151;отпечаток;empreinte
152;цилиндровые;cylindre
153;постоять;rester debout
154;писатель;écrivain
155;вернуть;récupérer
156;переписка;correspondance
157;бесшумно;silencieusement
158;подлинно;vraiment
159;свободный;libre
160;опекунство;garde
161;перевести;traduire
162;честолюбие;ambition
163;южный;sud
164;наращивание;renforcement
165;желудочные;estomac
166;вместе;ensemble
167;ванную;salle de bain
168;забавный;drôle
169;окрашивание;coloration
170;пила;scie
171;кейптаун;Cape Town
172;оправдание;excuse
173;назначить;prescrire
174;доброжелательный;bienveillant
175;прощание;adieu
176;нечетким;floue
177;пошлины;taxe
178;государь;souverain
179;отстаивать;défendre
180;клей;colle
181;фураж;fourrage
182;слюноотделение;salivation
183;синоним;synonyme
184;обеспечить;assurer
185;заслуженный;émérite
186;текущий;actuel
187;причал;quai
188;соединение;connexion
189;реконструкция;reconstruction
190;исходный;original
191;происходить;se produire
192;областной;régional
193;конечный;final
194;актуальные;actualité
195;недостаток;manque
196;прости;je suis désolé
197;земля;terrain
198;согнута;est pliée
199;свидетель;témoin
200;мыться;se laver
201;делегирование;délégation
202;направление;direction
203;ураган;ouragan
204;форум;forum
205;застегнуть;fermer
206;характер;caractère
207;нести;porter
208;миска;bol
209;удивляться;s'étonner
210;машинист;conducteur
211;уникальный;unique
212;содержимое;contenu
213;порадоваться;se réjouir
214;осмелиться;oser
215;отель;hôtel
216;самостоятельный;indépendant
217;тестировать;tester
218;коммерциализация;commercialisation
219;поэзия;poésie
220;вооружение;arme
221;час;heure
222;подливка;sauce
223;церемония;cérémonie
224;гавань;port
225;попасть;entrer
226;референдум;référendum
227;ассистент;assistant
228;стыдно;honte
229;подписать;signer
230;расстояние;distance
231;офицеров;officiers
232;разграничить;distinguer
233;транспарентность;transparence
234;лирик;lyrique
235;миссис;Mme
236;лента;ruban
237;обстановка;situation
238;методика;méthode
239;возникнуть;survenir
240;всегда;toujours
241;союз;union
242;дерзким;audacieux
243;обязательный;obligatoire
244;реагирования;intervention
245;работая;en travaillant
246;дом;maison
247;страх;peur
248;холостой;célibataire
249;неощутимо;imperceptiblement
250;мудрый;sage
251;добросовестный;consciencieux
252;конвой;convoi
253;учащийся;élève
254;плотно;étroitement
255;зачастую;souvent
256;разоблачить;exposer
257;стабильность;stabilité
258;обнаружение;détection
259;промежуток;période
260;новизна;nouveauté
261;грозный;terrible
262;подрочить;se branler
263;указание;indication
264;диплом;diplôme
265;граница;frontière
266;дикость;sauvagerie
267;поселиться;s'installer
268;экипаж;équipage
269;передвигаться;se déplacer
270;таракан;cafard
271;помещение;pièce
272;двигаться;bouger
273;стрелка;flèche
274;градус;degré
275;рассказывать;raconter
276;филолог;philologue
277;наверняка;certainement
278;патентных;brevet
279;кишечник;intestin
280;полным;complète
281;обозначения;désignation
282;дополнение;complément
283;звезд;étoiles
284;проникать;pénétrer
285;принудительный;forcé
286;золото;or
287;существующий;existant
288;безжалостный;impitoyable
289;переселение;réinstallation
290;чувствовать;sentir
291;рассчитать;calculer
292;встряхнуться;se secouer
293;авокадо;avocat
294;заморозить;geler
295;жадный;avide
296;инструктор;instructeur
297;команда;équipe
298;капкан;piège
299;указывать;indiquer
300;заключение;conclusion
301;холл;hall
302;корреспонденция;correspondance
303;временной;temporaire
304;доброжелательность;bienveillance
305;сырой;brut
306;сосуд;vaisseau
307;теплую;chaud
308;стул;chaise
309;присяга;serment
310;сломала;s'est cassé
311;приверженность;engagement
312;звучать;sonner
313;шерсть;laine
314;начало;début
315;смущение;embarras
316;заболеть;contracter
317;обзор;examen
318;оппозиционер;opposant
319;селедка;hareng
320;посох;bâton
321;потолок;plafond
322;железо;fer
323;супервулкан;supervolcan
324;закрываться;fermer
325;угрюмый;maussade
326;колокольчик;cloche
327;каскадный;en cascade
328;фирма;entreprise
329;враг;ennemi
330;своенравный;capricieux
331;пугающий;effrayant
332;шапка;chapeau
333;испании;Espagne
334;призвание;vocation
335;власть;pouvoir
336;оранжевый;orange
337;рейс;vol
338;изречение;phrase
339;последовательность;séquence
340;врач;médecin
341;математика;mathématiques
342;проследить;suivre
343;пятидесятую;cinquantième
344;озеро;lac
345;предпосылка;prémisse
346;количественно;quantitativement
347;заслуга;mérite
348;требование;exigence
349;ректор;recteur
350;шептаться;chuchoter
351;кино;cinéma
352;ребенка-инвалида;enfants handicapés
353;электроэнергии;électricité
354;тепло;chaleur
355;подчиняясь;en se soumettant à
356;быстро;rapidement
357;передовая;avancée
358;ген;gène
359;скольжение;glissement
