1;média;сми
2;caractères;символов
3;conversion;преобразование
4;inauguration;открытие
5;high-tech;высокотехнологичный
6;lune;луна
7;serré;плотный
8;marine;флот
9;sensiblement;значительно
10;dénomination;название
11;entendre;услышать
12;résistance;сопротивление
13;recommencer;начать сначала
14;conseille;советует
15;négocier;вести переговоры
16;faisceau;луч
17;terrace;Террас
18;répression;репрессия
19;sauvageons;одичалых
20;truffles;Трюфели
21;redoutable;грозный
22;plate-forme;платформа
23;mariages;браков
24;continuer;продолжать
25;construire;построить
26;vaguement;смутно
27;emploi;работа
28;étude;исследование
29;arbitrage;арбитраж
30;christian;Кристиан
31;dont;который
32;champion;чемпион
33;écus;экю
34;matériel;материал
35;paradoxal;парадоксальный
36;tenter;попытаться
37;acquisition;приобретение
38;potentiel;потенциал
39;intérieur;внутренний
40;odeur;запах
41;oeuvre;произведение
42;cd-roms;CD-дисков
43;consommateurs;потребителей
44;processeur;процессор
45;dimensions;размеры
46;permettre;позволить
47;bourse;стипендия
48;fard;тени
49;connexions;соединения
50;appendice;добавление
51;varier;варьироваться
52;ciment;цемент
53;fondé;основанный
54;euphorie;эйфория
55;maléfique;злой
56;habiter;жить
57;vision;зрение
58;incertitude;неопределенность
59;grozny;Грозный
60;demander;спросить
61;couronne;корона
62;indemnisation;компенсация
63;triste;грустный
64;savon;мыло
65;bête;зверь
66;plié;сложенный
67;coopératives;кооперативов
68;quarante;сорок
69;destiné;предназначенный
70;sensation;ощущение
71;illustrer;проиллюстрировать
72;divulgue;раскрывает
73;éditeur;редактор
74;chimiquement;химически
75;poche;карман
76;chien;собака
77;cru;думал
78;entourage;окружение
79;king's;Королевского
80;vrai;настоящий
81;présentation;представление
82;conjoint;супруг
83;gigantesque;гигантский
84;réservation;бронирование
85;encourager;поощрять
86;rugueux;грубый
87;amélioration;улучшение
88;vagues;волны
89;voir;увидеть
90;visualiser;визуализировать
91;golfeurs;гольфистов
92;suivre;следовать
93;étapes;этапов
94;présence;присутствие
95;moche;уродливый
96;boulevard;бульвар
97;enregistré;зарегистрированный
98;seul;единственный
99;ambitieux;амбициозный
100;organisme;организм
101;conférence;конференция
102;connaisse;знаю
103;antre;логово
104;fond;фон
105;transatlantique;трансатлантический
106;importation;импорт
107;jouet;игрушка
108;salarié;работник
109;défense;оборона
110;allure;скорость
111;combustion;сжигание
112;centers;центров
113;action;действие
114;entreprise;компания
115;déclencher;вызвать
116;s'inquiétait;переживал
117;effort;усилие
118;programmation;программирование
119;quarantaine;карантин
120;dessiner;рисовать
121;princess;принцесса
122;option;вариант
123;écart;разрыв
124;confédération;конфедерация
125;foreuse;бур
126;spécificités;особенности
127;pochette;обложка
128;tristesse;печаль
129;camp;лагерь
130;province;провинция
131;quitter;покинуть
132;série;серия
133;français;французский
134;citoyens;граждан
135;trésor;сокровище
136;ajoute-t-il;он добавляет
137;serveurs;серверов
138;document;документ
139;agent;агент
140;messages;сообщения
141;impact;влияние
142;réseau;сеть
143;comprennent;включают
144;interface;интерфейс
145;parit;паритет
146;évaluer;оценить
147;frais;расходы
148;friday;пятница
149;viens;только что
150;sécurité;безопасность
151;calme;спокойный
152;car;потому что
153;ex-socialiste;социалист
154;expert;эксперт
155;sévère;тяжелый
156;qualité;качество
157;monument;памятник
158;publicité;реклама
159;cochon;свинья
160;studio;студия
161;amendé;измененный
162;chaussée;дорога
163;effectué;проводится
164;accessoires;аксессуары
165;agir;действовать
166;canard;утка
167;hall;холл
168;inconvénient;недостаток
169;coïncidence;совпадение
170;selle;седло
171;lucratif;прибыльный
172;rends-moi;верни мне
173;nu;голый
174;sœurs;сестры
175;globalisation;глобализация
176;politiciens;политики
177;bâtiment;здание
178;précédemment;ранее
179;reçoit;получает
180;trouve;находится
181;apparemment;очевидно
182;rapide;быстрый
183;couper;отрезать
184;bruxelles;Брюссель
185;test;тест
186;modifier;изменить
187;photographe;фотограф
188;juillet;июль
189;incidents;инцидентов
190;détérioration;ухудшение
191;hiérarchisation;иерархия
192;construction;строительство
193;passion;страсть
194;forces;силы
195;enthousiaste;восторженный
196;environs;окрестности
197;nombreux;многое
198;page;страница
199;dent;зуб
200;pierre;камень
201;applicable;применимый
202;indépendamment;независимо от
203;non;нет
204;prise;принятие
205;marche;ходьба
206;vraiment;действительно
207;genres;жанров
208;portait;носил
209;élargissement;расширение
210;compétence;компетенция
211;mélancolique;меланхоличный
212;rapport;доклад
213;manœuvre;маневр
214;medias;средства массовой информации
215;méthode;метод
216;blocs;блоков
217;emmener;отвезти
218;clientèle;клиент
219;vendre;продать
220;programme;программа
221;sportif;спортивный
222;quiconque;всякий
223;stabilité;стабильность
224;uniquement;только
225;remporte;выиграл
226;cadre;рамка
227;entrée;вход
228;étendue;масштаб
229;montagne;гора
230;frapper;ударить
231;solidarité;солидарность
232;vendeur;продавец
233;consentir;согласиться
234;discussion;обсуждение
235;tirer;стрелять
236;productivité;производительность
237;belgian;бельгийский
238;chauffeurs;водителей
239;recrutement;вербовка
240;transmet;передает
241;membres;членов
242;autographes;автографы
243;seize;шестнадцать
244;lorsque;когда
245;vols;рейсы
246;quadrangulaire;квадратный
247;cd-rom;компакт-диск
248;organisateurs;организаторы
249;actions;действия
250;association;ассоциация
251;thé;чай
252;blé;пшеница
253;charge;нагрузка
254;pieds;ноги
255;solliciter;запросить
256;artificielle;искусственный
257;rétrospection;Очевидность
258;surprendre;удивить
259;daï;Сага
260;application;применение
261;marmite;кастрюля
262;caractéristique;особенность
263;portrait;портрет
264;étaient;были
265;passer;провести
266;selon;согласно
267;philosophie;философия
268;pris;принял
269;contrat;контракт
270;mutilation;увечье
271;remplir;заполнить
272;efficace;эффективный
273;veiller;следить
274;part;сторона
275;répond;отвечает
276;attentat;теракт
277;lame;лезвие
278;athlètes;спортсменов
279;international;международный
280;ballons;воздушные шары
281;néanmoins;тем не менее
282;initiative;инициатива
283;préparations;препараты
284;fourniture;предоставление
285;visite;визит
286;divergences;разногласия
287;après;после
288;valeurs;ценности
289;imagerie;визуализация
290;ic;ДИ
291;sait;знает
292;chiffres;цифры
293;regarder;смотреть
294;sourire;улыбка
295;élan;импульс
296;imminent;неизбежный
297;différence;разница
298;embarrasser;смущать
299;sous-estimé;недооцененный
300;assureur;страховщик
301;wave;волна
302;lieu;место
303;survie;выживание
304;déposer;подать
305;mélanger;смешать
306;individuelle;индивидуальной
307;étrangers;иностранных
308;rébellion;восстание
309;différent;другой
310;accueil;прием
311;contrôle;контроль
312;atterrisseur;посадочный модуль
313;pénétration;проникновение
314;retarder;задержать
315;fermer;закрыть
316;maladies;заболеваний
317;faire;сделать
318;pouvons-nous;мы можем
319;bras;рука
320;indicatifs;ориентировочные
321;désirs;желания
322;avantageux;выгодный
323;que;что
324;situations;ситуации
325;diamant;алмаз
326;échantillon;образец
327;solidarnosc;«Солидарность
328;mystères;тайны
329;obtenir;получить
330;musée;музей
331;chip;чип
332;vont;идут
333;monopoliste;монополистический
334;voyageurs;путешественников
335;rencontre;встреча
336;aventure;приключение
337;soixante-troisième;шестьдесят третьей
338;défendait;защищал
339;plus;более
340;expansion;расширение
341;négociation;переговоры
342;enfants;детей
343;gérer;управлять
344;livraisons;поставки
345;distance;расстояние
346;simplement;просто
347;qu'à;что в
348;bizarre;странный
349;schéma;схема
350;optical;оптический
351;pairs;сверстников
352;conclure;заключить
353;bonus;бонус
354;mari;муж
355;chambre;комната
356;opérations;операций
357;posséder;обладать
358;filtrage;фильтрация
359;drama;дорама
360;renaissance;возрождение
361;bâtiments;зданий
362;précaution;предосторожность
363;fonctionnement;функционирование
364;cancer;рак
365;amical;дружелюбный
366;appropriée;надлежащей
367;acteur;актер
368;peur;страх
369;explorateurs;исследователи
370;attribut;атрибут
371;victime;жертва
372;local;местный
373;douze;двенадцать
374;chocolate;шоколад
375;musique;музыка
376;joli;красивый
377;liquidation;ликвидация
378;liberté;свобода
379;plat;блюдо
380;artiste;художник
381;beaucoup;многие
382;après-midi;день
383;villageois;сельские жители
384;bruit;шум
385;jouer;играть
386;garde;гвардия
387;point;точка
388;varié;разнообразный
389;d'acier;стальной
390;fédérations;федераций
391;écrire;писать
392;diminuer;уменьшить
393;drogues;наркотиков
394;devra;придется
395;liga;Лига
396;amicalement;дружески
397;envie;желание
398;fonctionnalité;функция
399;parlementaires;парламентских
400;inciter;побудить
401;bug;ошибка
402;exportation;экспорт
403;sportive;спорт
404;listes;списки
405;direction;направление
406;absolu;абсолютный
407;explique;объясняет
408;tabac;табак
409;conduire;водить
410;tennis;теннис
411;décembre;декабрь
412;expositions;выставки
413;seconde;второй
414;position;позиция
415;dévalué;девальвировал
416;capturer;захватить
417;propositions;предложения
418;redéploiement;передислокация
419;enjoué;веселый
420;mariage;брак
421;région;регион
422;ajouter;добавить
423;transformer;превратить
424;profit;прибыль
425;vendeurs;продавцов
426;délicieux;вкусный
427;persil;петрушка
428;concurrence;конкуренция
429;nommé;назначенный
430;pratiquement;практически
431;popularité;популярность
432;cage;клетка
433;appuie;поддерживает
434;double;двойной
435;niveaux;уровнях
436;petit-déjeuner;завтрак
437;médicaments;препараты
438;réconfort;утешение
439;créatif;творческий
440;désagrément;неудобство
441;voiture;машина
442;devient;становится
443;congrégation;конгрегация
444;crédit;кредит
445;comptable;бухгалтер
446;sale;грязный
447;affirme;утверждает
448;contrôler;контролировать
449;commencer;начать
450;parfois;иногда
451;choix;выбор
452;adulte;взрослый
453;converti;преобразованный
454;manque;отсутствие
455;s'étonner;удивляться
456;adoption;принятие
457;porte-monnaie;кошелек
458;s'appelle;называется
459;règle;правило
460;fonds;фонд
461;dramatique;драматический
462;opère;работает
463;assurée;обеспечивается
464;certificat;сертификат
465;pro;профессионал
466;ignorer;игнорировать
467;abbaye;аббатство
468;grâce;благодаря
469;followers;подписчиков
470;ramené;принес
471;résultat;результат
472;génie;гений
473;marge;маржа
474;conviction;убеждение
475;sport;спорт
476;incidence;заболеваемость
477;jeté;бросил
478;conseiller;советник
479;filiale;филиал
480;triangle;треугольник
481;collectionneur;коллекционер
482;instabilité;нестабильность
483;espagnol;испанский
484;salad;Салат
485;concernant;относительно
486;fortune;состояние
487;écrans;экраны
488;prouver;доказать
489;équilibré;сбалансированный
490;inquiétant;тревожный
491;précision;точность
492;relâchement;расслабление
493;sera-t-il;будет ли
494;déficit;дефицит
495;jeux;игры
496;travaille;работает
497;variante;вариант
498;équipe;команда
499;vertical;вертикальный
500;virements;переводы
501;foyer;дом
502;reçu;получил
503;automatisé;автоматизированный
504;empreinte;отпечаток
505;tension;напряжение
506;garantir;гарантировать
507;appareil;устройство
508;écarter;исключить
509;dégradation;деградация
510;moyens;средства
511;massivement;активно
512;ordre;порядок
513;gestionnaires;менеджеров
514;ficelles;за ниточки
515;retrouver;найти
516;total;полный
517;charbon;уголь
518;danser;танцевать
519;rarement;редко
520;mélodie;мелодия
521;différer;отличаться
522;divorcée;разведенная
523;éditer;редактировать
524;concept;концепция
525;gants;перчатки
526;jeunesse;молодежь
527;chasseur;охотник
528;diriger;управлять
529;d'entreprise;корпоративный
530;utiliser;использовать
531;léger;легкий
532;format;формат
533;doublement;вдвойне
534;coutume;обычай
535;âme;душа
536;représenter;представлять
537;violent;жестокий
538;dégage;выделяет
539;briser;сломать
540;catastrophique;катастрофический
541;renvoyer;вернуть
542;lecteur;читатель
543;rappeler;помнить
544;déchet;отходы
545;magnifique;прекрасный
546;compagnon;компаньон
547;capitaine;капитан
548;étoile;звезда
549;ci-dessus;выше
550;solitaire;одинокий
551;lancer;начать
552;excitant;захватывающий
553;nappes;скатерти
554;énorme;огромный
555;encombrant;громоздкий
556;fonctionnaire;сотрудник
557;restons;остаемся
558;caractère;характер
559;problèmes;проблемы
560;respiration;дыхание
561;manifestation;проявление
562;connaîtra;узнает
563;caché;скрытый
564;attentif;внимательный
565;rapports;докладов
566;réaliser;реализовать
567;mains;руки
568;intervient;вмешивается
569;évier;раковина
570;trafic;трафик
571;co-auteurs;соавторов
572;gastronome;гастроном
573;spécifique;конкретный
574;habitable;обитаемой
575;présentent;имеют
576;espérer;надеяться
577;poste;должность
578;film;фильм
579;totalité;совокупность
580;précipiter;спешить
581;aérien;воздушный
582;lettres;письма
583;secteurs;секторах
584;grant;Грант
585;sauver;спасти
586;répondre;ответить
587;trente;тридцать
588;liste;список
589;batterie;батарея
590;mauvais;плохой
591;tenais;стоял
592;rel;rel
593;jugement;суждение
594;casque;шлем
595;combien;сколько
596;toucher;трогать
597;promenades;прогулки
598;chapel;Часовня
599;timide;застенчивый
600;fréquemment;часто
